MIDAS,year,summer_secchi,summer_secchi_median,bottom_hit_rate,valid_bottom_flag_rate,n_stations,n_station_years,n_summer_dates,n_readings,seasonally_adjusted_secchi,seasonally_adjusted_secchi_median,all_year_bottom_hit_rate,all_year_n_stations,all_year_n_station_years,all_year_n_dates,all_year_n_readings
c0001,2018,7.02,7.02,0.0,1.0,1,1,1,1,6.969530900423173,6.969530900423173,0.0,1,1,1,1
c0002,2005,4.406428571428571,4.53,0.0,1.0,1,1,7,8,4.360225789732571,4.499499211135857,0.0,1,1,9,10
c0002,2006,3.5785714285714287,3.55,0.0,1.0,1,1,7,8,3.740833393891859,3.579742480068862,0.0,1,1,8,9
c0002,2007,4.636,4.7,0.0,1.0,1,1,5,5,4.810230130864114,4.8559841394391015,0.0,1,1,6,6
c0002,2014,3.98,3.98,0.0,1.0,1,1,1,2,3.9295309004231735,3.9295309004231735,0.0,1,1,1,2
c0004,1977,3.2,3.1,0.0,1.0,1,1,5,5,3.111520327979847,3.090484944220484,0.16666666666666666,1,1,6,6
c0004,1978,2.5,2.5,0.0,1.0,1,1,2,2,2.46975832471252,2.46975832471252,0.0,1,1,2,2
c0004,1979,1.8,1.8,0.0,1.0,1,1,1,1,1.7694992111358578,1.7694992111358578,0.0,1,1,1,1
c0004,2005,3.0,3.0,1.0,1.0,1,1,1,1,2.9495309004231736,2.9495309004231736,1.0,1,1,1,1
c0007,1977,1.25,1.25,0.0,1.0,2,2,2,2,1.2194992111358578,1.2194992111358578,0.0,2,2,2,2
c0007,1978,1.153721804511278,1.15,0.0,0.9761904761904762,2,2,40,41,1.263339187175955,1.389636690246018,0.0,2,2,53,54
c0007,1979,1.0530303030303032,1.1,0.0,1.0,2,2,20,20,1.4364752224836985,1.3544487332221036,0.0,2,2,41,41
c0007,1980,0.9916666666666667,0.8,0.0,1.0,2,2,12,12,1.358564681923264,1.3092121884242411,0.0,2,2,27,27
c0007,1982,2.296153846153846,2.3499999999999996,0.0,1.0,2,2,26,28,2.3286401123638227,2.4495309004231736,0.0,2,2,34,36
c0007,1983,2.5055555555555555,2.5999999999999996,0.0,1.0,2,2,18,18,2.6731667970107758,2.6297424800688622,0.0,2,2,30,30
c0007,1984,2.4166666666666665,2.6,0.0,1.0,2,2,12,12,2.4622835477605225,2.54636511861513,0.0,2,2,20,20
c0007,1985,3.0083333333333337,3.15,0.0,1.0,2,2,12,12,2.921554285188649,3.0095150557795156,0.0,2,2,14,14
c0007,1990,2.46875,2.475,0.0,1.0,2,2,12,12,2.496552890932112,2.485113712144673,0.0,2,2,12,12
c0007,1991,2.3,2.4,0.0,1.0,1,1,4,4,2.3,2.3797424800688622,0.0,1,1,4,4
c0007,1992,2.1,1.95,0.0,1.0,2,2,9,9,2.261052604068848,2.1402353466111754,0.0,2,2,11,11
c0007,1994,1.9375,1.9249999999999998,0.0,1.0,2,2,7,7,1.9355349727476923,1.9899857490018666,0.0,2,2,9,9
c0007,1995,2.675,2.6,0.0,1.0,2,2,12,12,2.5823830574475717,2.440484944220484,0.0,2,2,14,14
c0007,1996,2.8,2.9,0.0,1.0,2,2,10,10,2.8227056962001837,2.86975832471252,0.0,2,2,12,12
c0007,1997,3.1796296296296296,3.275,0.0,1.0,2,2,18,36,3.0897850467226577,3.2045229781013447,0.0,2,2,20,40
c0007,1998,2.1970238095238095,2.075,0.0,1.0,2,2,15,31,2.235506403513969,2.136924307714856,0.0,2,2,17,35
c0007,1999,2.992857142857143,3.05,0.0,1.0,2,2,14,28,2.992393808734419,2.9428712320758112,0.0,2,2,16,32
c0007,2000,3.3785714285714286,3.4,0.0,1.0,2,2,14,14,3.3110190099297645,3.360363309753982,0.0,2,2,16,16
c0007,2001,2.45,2.4,0.0,1.0,2,2,14,14,2.6124467036458405,2.5802416752874797,0.0,2,2,16,16
c0007,2002,2.8553571428571427,2.8249999999999997,0.0,1.0,2,2,15,15,2.865936337179398,2.82462084560236,0.0,2,2,17,17
c0007,2003,3.375,3.3499999999999996,0.0,1.0,2,2,12,12,3.352664695471751,3.340484944220484,0.0,2,2,14,14
c0007,2004,2.745,2.745,0.0,1.0,1,1,1,2,2.6945309004231737,2.6945309004231737,0.0,1,1,1,2
c0007,2005,3.2938333333333336,3.54,0.05555555555555555,1.0,2,2,19,21,3.288090350641055,3.4945229781013447,0.05555555555555555,2,2,19,21
c0007,2006,3.224861111111111,3.0,0.0,1.0,2,2,17,17,3.3222516705317107,3.2217884222502198,0.0,2,2,25,25
c0007,2007,3.78625,3.7125000000000004,0.0,1.0,2,2,20,21,3.6939228474916774,3.6149857490018666,0.0,2,2,22,23
c0007,2008,3.059375,3.0875,0.0,1.0,2,2,16,16,3.0594397783941654,3.0822583247125204,0.0,2,2,16,16
c0007,2009,2.9054545454545453,2.875,0.0,1.0,2,2,22,24,3.0139108388467957,3.0595150557795154,0.0,2,2,26,28
c0007,2010,3.08125,3.125,0.0,1.0,2,2,16,16,3.166282343488468,3.185363309753982,0.0,2,2,20,20
c0007,2011,3.3420454545454543,3.3,0.0,1.0,2,2,22,26,3.282954938940879,3.2370309004231737,0.0,2,2,24,30
c0007,2012,3.590625,3.725,0.0,1.0,2,2,24,28,3.569200427649731,3.6845150557795154,0.0,2,2,30,38
c0007,2013,3.278125,3.125,0.0,1.0,2,2,15,20,3.219316857329882,3.046000402390691,0.0,2,2,17,22
c0007,2014,3.3930555555555557,3.375,0.0,1.0,2,2,18,22,3.4322770134050375,3.4149857490018665,0.0,2,2,22,26
c0007,2015,3.840625,3.9187499999999997,0.0,1.0,2,2,24,26,3.845303257939392,3.865734905180947,0.0,2,2,32,34
c0007,2016,3.99724358974359,4.05,0.0,1.0,2,2,26,31,4.009826021216034,4.028265055779515,0.0,2,2,36,41
c0007,2017,3.729195804195804,3.825,0.0,1.0,2,2,24,26,3.6445387046290723,3.7020150557795155,0.0,2,2,30,32
c0007,2018,3.682777777777778,3.825,0.0,1.0,2,2,19,21,3.5443890128041087,3.6095150557795153,0.0,2,2,25,29
c0007,2019,3.21875,3.2749999999999995,0.0,1.0,2,2,16,20,3.139739032285997,3.240484944220484,0.0,2,2,18,22
c0007,2020,3.871875,3.7125,0.0,1.0,2,2,16,24,3.8653794019229064,3.7350961161925107,0.0,2,2,24,32
c0007,2021,2.945401785714286,2.8375,0.0,1.0,2,2,15,21,3.0235120758098963,2.827136690246018,0.0,2,2,17,23
c0007,2022,3.3374305555555557,3.34375,0.0,1.0,2,2,17,31,3.260417226306739,3.3032345418297933,0.0,2,2,19,33
c0007,2023,2.3135714285714286,2.275,0.0,1.0,2,2,14,22,2.3649265632883103,2.3148862878553267,0.0,2,2,16,24
