MIDAS,SAMPDATE,SECCHI,SECCBOT,MTB,Depth,TMAX,TMIN,DOMAX,DOMIN,MLD,maxbf,ctr_buoy,epi_temp,hypo_temp,int_ener,schmidt,thermo,whole_temp,oxic_depth,frac_anoxic,TPEC,TPBG,CHLA
3734_1,2024-12-03,5.15,N,3734.1,20.4,6.1,5.7,11.7,11.2,,,,,,,,,,20.4,0,,,
3734_1,2024-12-03,5.45,N,3734.1,20.4,6.1,5.7,11.7,11.2,,,,,,,,,,20.4,0,,,
5236_1,2024-11-20,3.28,N,5236.1,30.5,8.6,8.4,11.3,10.9,30.5,0.00003338046213,4.968898257,8.499395534,,262673326.5,1.338403281,,8.499395534,30.5,0,18,,13
3832_1,2024-11-18,4.7,N,3832.1,12.8,8.3,8.2,10.9,10.7,13,0.00006263924769,6.5,8.280082098,,187625722.2,0.3092791209,,8.280082098,12.8,0,14,,
3604_1,2024-11-17,4.93,N,3604.1,16.5,7.7,7.5,11,11,16.5,0.00005429065834,6.447550887,7.616488855,,273501063.2,0.8924664645,,7.616488855,16.5,0,,,
5272_2,2024-11-17,5.65,N,5272.2,32.3,8.4,6.4,12.1,0,32.3,0.0004376920237,21.97633099,8.262224799,6.578639123,292336297.4,4.705357764,25.51751817,8.237184073,25.9,0.03222500354,,,
5254_1,2024-11-14,2.2,N,5254.1,7.9,8.2,7.5,10.9,10.8,9,0.0001670728915,6.726383462,8.18668247,,90483324.36,0.07704328823,,8.18668247,7.9,0,26.66666667,,7.75
5254_1,2024-11-14,2.35,N,5254.1,7.9,8.2,7.5,10.9,10.8,9,0.0001670728915,6.726383462,8.18668247,,90483324.36,0.07704328823,,8.18668247,7.9,0,26.66666667,,7.75
5254_3,2024-11-14,2.55,N,5254.1,7.9,8.2,7.5,10.9,10.8,9,0.0001670728915,6.726383462,8.18668247,,90483324.36,0.07704328823,,8.18668247,7.9,0,26.66666667,,7.75
5254_3,2024-11-14,2.5,N,5254.1,7.9,8.2,7.5,10.9,10.8,9,0.0001670728915,6.726383462,8.18668247,,90483324.36,0.07704328823,,8.18668247,7.9,0,26.66666667,,7.75
5366_1,2024-11-08,4.4,N,5366.1,6.7,11.4,11.1,10.2,9.6,6.7,0.0001036453747,3.820904398,11.33169115,,164194314.9,0.4600121841,,11.33169115,6.7,0,,,
5368_4,2024-11-08,2.33,N,5368.1,9.75,11,10.7,9.4,8.5,9.8,0.0002917775358,4.5,10.91899452,,208231837.1,1.132306108,,10.91899452,9.8,0,,,
3814_1,2024-11-07,8.46,Y,3814.1,8.5,11.6,11,10.2,9.8,8.5,0.0003071243444,5.148173116,11.4439519,,279030221.8,2.649044246,,11.4439519,8.5,0,20,,3
5312_2,2024-11-07,4.1,N,5312.2,12.1,,,,,,,,,,,,,,,,15,32,10
3836_1,2024-11-05,4.65,N,3836.1,11.6,10.3,10.2,10.4,10.1,12,0.00008948447806,3.5,10.24174348,,38197058.7,0.07747860934,,10.24174348,11.6,0,,17,8.1
3836_1,2024-11-05,4.65,N,3836.1,11.6,10.3,10.2,10.4,10.1,12,0.00008948447806,3.5,10.24174348,,38197058.7,0.07747860934,,10.24174348,11.6,0,,17,8.1
5244_1,2024-11-05,3.64,N,5244.1,9.8,10,8.4,8.5,0.2,9.8,0.0006375402487,6.84710732,9.819484542,8.596676934,169193270.6,1.757711125,8.430042208,9.795277993,7.7,0.1699122807,,,
5302_1,2024-11-05,6.6,N,5302.1,22.9,10.4,4.5,9.8,0.1,,,,,,,,,,20.1,0.1193460274,6,,2.4
5272_1,2024-11-03,5.2,N,5272.1,18.2,11.8,11.5,11.2,10.5,24.4,0.0001086948887,11.1080798,11.72082809,,438734589.7,1.723560066,,11.72082809,24.4,0,,,
5272_2,2024-11-03,5.2,N,5272.2,32.3,11.7,6.4,11.1,0,14,0.001012846144,15.50302333,11.59026246,7.595783867,397557608.6,40.13063808,14.81648334,11.20503501,24,0.0403218863,,,
3682_1,2024-10-31,5.75,N,3682.1,26.8,,,,,,,,,,,,,,,,,,
3682_1,2024-10-31,5.6,N,3682.1,26.8,,,,,,,,,,,,,,,,,,
4282_1,2024-10-31,3.2,N,4282.1,9.4,10.4,10.3,10.9,10.8,9.4,0.00009078889304,3.5,10.37307904,,147377406.9,0.2139970083,,10.37307904,9.4,0,,,
4282_1,2024-10-31,3.2,N,4282.1,9.4,10.4,10.3,10.9,10.8,9.4,0.00009078889304,3.5,10.37307904,,147377406.9,0.2139970083,,10.37307904,9.4,0,,,
5182_1,2024-10-31,4.2,N,5182.1,24.4,11.1,5.7,9.1,0.4,9,0.001318294876,9.882614407,10.84411975,7.063619181,335956878.3,32.3174013,9.533245332,10.21343033,9.9,0.2406314034,,,
5238_1,2024-10-31,7.71,N,5238.1,25,12.3,4.8,9.5,0.1,9,0.001668603219,9.438502056,11.96850673,5.701515105,374037053.7,57.46517945,9.919919018,10.90729528,19,0.0621817894,,,
5240_1,2024-10-31,5.85,N,5240.1,18.9,12,6.2,9.8,0.2,11,0.00196242288,10.4322464,11.74518452,6.827326092,269069448.3,13.0044659,11.48217633,11.51176836,11.7,0.07084348346,,,
5240_1,2024-10-31,6.05,N,5240.1,18.9,12,6.2,9.8,0.2,11,0.00196242288,10.4322464,11.74518452,6.827326092,269069448.3,13.0044659,11.48217633,11.51176836,11.7,0.07084348346,,,
5242_1,2024-10-31,4.45,N,5242.1,8.5,11,10,9.2,7,8.5,0.0002645286111,4.708376275,10.80145212,10.08694113,130297188.7,1.095968766,7.396424322,10.79382844,8.5,0,,,
5242_1,2024-10-31,4.47,N,5242.1,8.5,11,10,9.2,7,8.5,0.0002645286111,4.708376275,10.80145212,10.08694113,130297188.7,1.095968766,7.396424322,10.79382844,8.5,0,,,
5448_1,2024-10-31,3.8,N,5448.1,26.8,12,9.6,9.2,0.1,26,0.000875267469,18.36946559,11.90281256,10.06923859,487627255.5,10.28563633,19.56185464,11.86574797,19.6,0.07939142462,18,,6.9
5448_1,2024-10-31,3.6,N,5448.1,26.8,12,9.6,9.2,0.1,26,0.000875267469,18.36946559,11.90281256,10.06923859,487627255.5,10.28563633,19.56185464,11.86574797,19.6,0.07939142462,18,,6.9
3832_1,2024-10-29,3.12,N,3832.1,12.8,12.1,11.8,9.1,8.7,12.8,0.0001124481362,6.129208688,11.99723452,,271765503.3,1.190030772,,11.99723452,12.8,0,14,14,6.7
4588_1,2024-10-29,1.85,Y,4588.1,2.1,,,,,,,,,,,,,,,,,,
4588_1,2024-10-29,1.85,Y,4588.1,2.1,,,,,,,,,,,,,,,,,,
4612_1,2024-10-29,5.5,N,4612.1,14.3,9.3,8.4,10.9,10.8,11.3,0.0002002803213,6.468658719,9.144528721,,135560039.6,0.9245314556,,9.144528721,11.3,0,,,
4612_1,2024-10-29,5.4,N,4612.1,14.3,9.3,8.4,10.9,10.8,11.3,0.0002002803213,6.468658719,9.144528721,,135560039.6,0.9245314556,,9.144528721,11.3,0,,,
4896_1,2024-10-29,5,N,4896.1,45.7,11.6,5.9,9.6,6.2,,,,,,,,,,40.2,0,,,
5307_1,2024-10-29,5.47,N,5307.1,13.71,11.9,11.5,9.6,9.4,13.7,0.0002161334639,6.728176909,11.84773952,,196740233.8,0.9610288332,,11.84773952,13.7,0,9,,4.4
5307_1,2024-10-29,5.42,N,5307.1,13.71,11.9,11.5,9.6,9.4,13.7,0.0002161334639,6.728176909,11.84773952,,196740233.8,0.9610288332,,11.84773952,13.7,0,9,,4.4
5408_1,2024-10-29,2.4,N,5408.1,12.5,11.8,11.5,9.7,7.8,13,0.0001086948887,9.492186855,11.78656514,,241927020.5,0.4608216931,,11.78656514,12.5,0,,30,15
5408_1,2024-10-29,2.2,N,5408.1,12.5,11.8,11.5,9.7,7.8,13,0.0001086948887,9.492186855,11.78656514,,241927020.5,0.4608216931,,11.78656514,12.5,0,,30,15
4606_1,2024-10-28,11.2,N,4606.1,33.5,13.3,11.2,9.9,3.7,21,0.001808752581,19.71196093,13.19583034,11.21089745,712724634.9,35.59196269,21.51456479,13.0848203,33.5,0,,,
4606_1,2024-10-28,11.2,N,4606.1,33.5,13.3,11.2,9.9,3.7,21,0.001808752581,19.71196093,13.19583034,11.21089745,712724634.9,35.59196269,21.51456479,13.0848203,33.5,0,,,
4608_1,2024-10-28,15.8,N,4608.1,45.7,11.7,5.6,12,10.6,14,0.001738415611,15.93240707,11.69676184,6.203111735,943739858.6,430.3918899,14.80274385,9.151864501,45.7,0,,,
