model,horizon,n_cases,n_lakes,MAE,RMSE,MASE,pct_lakes_beat_persistence,n_interval_80,coverage_80,width_80,n_interval_95,coverage_95,width_95
Recent 5-year mean,1,318,318,0.47902254598312066,0.6649118221299655,0.8992013694608252,57.861635220125784,318,0.8113207547169812,1.582142857142852,318,0.949685534591195,2.845491846531352
Recent 5-year mean,2,632,345,0.5118906776214512,0.7135970141520339,0.9360967395805225,51.59420289855072,632,0.814873417721519,1.6790023734177222,632,0.9572784810126582,3.0405734550095205
Recent 5-year mean,3,944,364,0.5224600382417626,0.7480088662599902,0.9639845960097897,59.065934065934066,944,0.8315677966101694,1.7601827330508466,944,0.9533898305084746,3.132497102580361
Recent 5-year mean,4,1231,370,0.6398364654934494,0.8860658999046563,1.159847255817991,48.64864864864865,1231,0.7611697806661251,1.792062632896828,1231,0.9260763606823721,3.1653671722519965
Recent 5-year mean,5,1525,381,0.645802597993788,0.8929636369188078,1.1681740000986582,58.79265091863517,1525,0.7652459016393443,1.846461797640732,1525,0.9370491803278689,3.3581659308049256
Local-level state-space,1,318,318,0.47626459427805634,0.6508588431321944,0.9014601975394952,65.72327044025157,318,0.8238993710691824,1.5980615200699946,318,0.9433962264150944,2.7618294205714413
Local-level state-space,2,632,345,0.48759141452561383,0.6788064184458292,0.8896431630871929,62.31884057971014,632,0.8306962025316456,1.6881239461865918,632,0.9651898734177216,3.0022465962145874
Local-level state-space,3,944,364,0.511361832208224,0.7392492846186528,0.9475321790242295,64.56043956043956,944,0.8389830508474576,1.787333925644913,944,0.9608050847457628,3.1683160212092507
Local-level state-space,4,1231,370,0.6114675955608421,0.8585886606035383,1.1096370031609686,57.567567567567565,1231,0.7741673436230707,1.8080967877755028,1231,0.9382615759545085,3.2112490291529325
Local-level state-space,5,1525,381,0.6388114683665054,0.8951917557286851,1.156708339258565,67.97900262467192,1525,0.7777049180327869,1.8899916600321747,1525,0.9429508196721311,3.3777256169464978
