MIDAS,feature_set,n_obs,pct_missing_measured_editable,editable_policy,R2,MAE,MAE_Norm,lake_sample
c0157,A_legacy_served,117,0.9487,False,-0.7862,0.2078,0.0122,seeded_10
c0157,B_measured_only,117,0.9487,False,-16.223,0.8243,0.0485,seeded_10
c0157,C_measured_locked_chem,117,0.9487,False,-1.3093,0.2213,0.013,seeded_10
c3420,A_legacy_served,687,0.54,True,0.4181,0.5675,0.0079,seeded_10
c3420,B_measured_only,687,0.54,True,-1.1385,1.1773,0.0164,seeded_10
c3420,C_measured_locked_chem,687,0.54,True,0.4229,0.5615,0.0078,seeded_10
c3814,A_legacy_served,1109,0.402,True,0.0583,1.4906,0.0532,seeded_10
c3814,B_measured_only,1109,0.402,True,-0.115,1.6751,0.0598,seeded_10
c3814,C_measured_locked_chem,1109,0.402,True,0.0745,1.4748,0.0527,seeded_10
c0224,A_legacy_served,409,0.9633,False,-3.6515,4.0612,0.0205,seeded_10
c0224,B_measured_only,409,0.9633,False,-5.1456,4.7384,0.0239,seeded_10
c0224,C_measured_locked_chem,409,0.9633,False,-3.0723,3.7612,0.019,seeded_10
c3448,A_legacy_served,490,0.3857,True,0.4031,0.5925,0.0123,seeded_10
c3448,B_measured_only,490,0.3857,True,0.1992,0.7338,0.0153,seeded_10
c3448,C_measured_locked_chem,490,0.3857,True,0.3881,0.5976,0.0125,seeded_10
c5242,A_legacy_served,479,0.5623,True,-0.1044,0.6645,0.0237,seeded_10
c5242,B_measured_only,479,0.5623,True,0.1352,0.5938,0.0212,seeded_10
c5242,C_measured_locked_chem,479,0.5623,True,-0.0002,0.6305,0.0225,seeded_10
c3712,A_legacy_served,597,0.5466,True,-0.0292,0.6307,0.0166,seeded_10
c3712,B_measured_only,597,0.5466,True,0.048,0.5713,0.015,seeded_10
c3712,C_measured_locked_chem,597,0.5466,True,0.0286,0.6063,0.016,seeded_10
c3132,A_legacy_served,680,0.5699,True,0.0807,0.5259,0.0089,seeded_10
c3132,B_measured_only,680,0.5699,True,-1.1603,0.8841,0.015,seeded_10
c3132,C_measured_locked_chem,680,0.5699,True,0.05,0.5422,0.0092,seeded_10
c0390,A_legacy_served,399,0.8229,True,0.2138,1.3223,0.0054,seeded_100
c0390,C_measured_locked_chem,399,0.8229,True,0.1488,1.3786,0.0056,seeded_100
c0410,A_legacy_served,112,0.9851,False,-1.0465,0.9986,0.0156,seeded_100
c0410,C_measured_locked_chem,112,0.9851,False,-0.9545,0.9643,0.0151,seeded_100
c0956,A_legacy_served,379,0.9683,False,-0.4091,1.2173,0.0065,seeded_100
c0956,C_measured_locked_chem,379,0.9683,False,-0.1328,1.0254,0.0055,seeded_100
c1088,A_legacy_served,107,0.2243,True,0.4798,0.5179,0.0084,seeded_100
c1088,C_measured_locked_chem,107,0.2243,True,0.5322,0.4957,0.008,seeded_100
c1228,A_legacy_served,200,0.9658,False,0.1203,0.6096,0.0142,seeded_100
c1228,C_measured_locked_chem,200,0.9658,False,0.1499,0.6101,0.0142,seeded_100
c1672,A_legacy_served,117,0.6197,True,0.1854,0.6938,0.0057,seeded_100
c1672,C_measured_locked_chem,117,0.6197,True,0.156,0.6881,0.0056,seeded_100
c1680,A_legacy_served,166,0.9327,False,0.0516,0.6289,0.0314,seeded_100
c1680,C_measured_locked_chem,166,0.9327,False,0.1506,0.6371,0.0319,seeded_100
c1802,A_legacy_served,1054,0.5455,True,-0.5982,0.7947,0.0209,seeded_100
c1802,C_measured_locked_chem,1054,0.5455,True,-0.6467,0.8089,0.0213,seeded_100
c2336,A_legacy_served,376,0.7358,True,-1.5274,1.2347,0.0617,seeded_100
c2336,C_measured_locked_chem,376,0.7358,True,-1.2169,1.1262,0.0563,seeded_100
c3140,A_legacy_served,183,0.49,True,0.125,0.4436,0.0164,seeded_100
c3140,C_measured_locked_chem,183,0.49,True,0.045,0.466,0.0173,seeded_100
c3178,A_legacy_served,157,0.9352,False,-5.4777,1.3424,0.0639,seeded_100
c3178,C_measured_locked_chem,157,0.9352,False,-5.7849,1.373,0.0654,seeded_100
c3199,A_legacy_served,439,0.3812,True,0.1328,0.6139,0.0192,seeded_100
c3199,C_measured_locked_chem,439,0.3812,True,0.1372,0.6117,0.0191,seeded_100
c3234,A_legacy_served,899,0.6498,True,0.3115,0.5206,0.0111,seeded_100
c3234,C_measured_locked_chem,899,0.6498,True,0.2339,0.5528,0.0118,seeded_100
c3240,A_legacy_served,104,0.9423,False,-3.5829,1.4076,0.0217,seeded_100
c3240,C_measured_locked_chem,104,0.9423,False,-3.0,1.297,0.02,seeded_100
c3300,A_legacy_served,907,0.962,False,-0.647,1.6293,0.0109,seeded_100
c3300,C_measured_locked_chem,907,0.962,False,-0.5378,1.5619,0.0105,seeded_100
c3396,A_legacy_served,600,0.4767,True,-0.6069,0.9402,0.0184,seeded_100
c3396,C_measured_locked_chem,600,0.4767,True,-0.2961,0.8146,0.016,seeded_100
