split,support_tier,model,horizon,n_cases,n_lakes,MAE,RMSE,mean_bias,MASE,pct_lakes_beat_naive,n_interval_80,coverage_80,width_80,n_interval_95,coverage_95,width_95
development,All,EWMA alpha 0.10,1,3398,495,0.5189800770377113,0.7066327150645506,-0.05536908762797447,0.9667472104892293,57.37373737373738,3398,0.8463802236609771,1.8435214478821045,3398,0.96291936433196,3.2315589686471715
development,All,EWMA alpha 0.10,3,3293,459,0.5629424414329659,0.7631136372088101,-0.13659611428572374,1.049798736242253,61.43790849673203,3293,0.846644397206195,1.9720827803082546,3293,0.9590039477679927,3.385192826095993
development,All,EWMA alpha 0.10,5,3208,447,0.5952685638978903,0.8199533580850298,-0.20721278569602813,1.103640463652904,61.74496644295302,3208,0.8460099750623441,2.06351462287872,3208,0.9641521197007481,3.6005741316515487
development,All,EWMA alpha 0.10,10,3020,421,0.6792980104992732,0.9678287945684025,-0.24534188629570078,1.2407848153669583,62.23277909738717,3020,0.8364238410596027,2.2986365310888828,3020,0.9579470198675497,3.9536671612744203
development,All,EWMA alpha 0.20,1,3398,495,0.4736496422669729,0.6476814822280453,-0.006911099470320494,0.8845244031131066,65.45454545454545,3398,0.8334314302530901,1.6355119221522352,3398,0.9614479105356092,2.9219418132616553
development,All,EWMA alpha 0.20,3,3293,459,0.5217473892870546,0.7091486662703825,-0.08811017993783468,0.9780623684371629,67.10239651416123,3293,0.8442150015183723,1.8230153009546055,3293,0.9614333434558153,3.1801076448011325
development,All,EWMA alpha 0.20,5,3208,447,0.5498251999850128,0.7586221537841141,-0.15704722166913837,1.0263187077908706,69.79865771812081,3208,0.8438279301745636,1.91277665717791,3208,0.9650872817955112,3.410440255771027
development,All,EWMA alpha 0.20,10,3020,421,0.6314000396322368,0.9055814535367733,-0.19635602441654038,1.163991525732272,71.49643705463184,3020,0.8437086092715231,2.1622900369315268,3020,0.9625827814569536,3.7707369770837196
development,All,EWMA alpha 0.30,1,3398,495,0.4620683524770855,0.6345493918242378,-0.004518980868282988,0.8644934026775075,71.51515151515152,3398,0.8284284873454973,1.5794707731420425,3398,0.9605650382577987,2.8005186213591737
development,All,EWMA alpha 0.30,3,3293,459,0.5141034350801094,0.7000068766178718,-0.0859525783652242,0.9660210639224209,73.63834422657952,3293,0.835712116610993,1.7857245327909623,3293,0.9617370179167932,3.1260781990799646
